,Rank,Player,PPG,Season
138,139.,Purvis Short,28.03,1984-85
139,140.,Anthony Davis,27.99,2016-17
140,141.,Adrian Dantley*,27.99,1979-80
141,142.,Alex English*,27.93,1984-85
142,143.,Walt Bellamy*,27.91,1962-63
143,144.,Bob Pettit*,27.89,1960-61
144,145.,Kobe Bryant,27.86,2011-12
145,146.,Hakeem Olajuwon*,27.85,1994-95
146,147.,Bradley Beal,27.81,2019-20
147,148.,George Yardley*,27.79,1957-58
148,149.,Moses Malone*,27.77,1980-81
149,150.,Kareem Abdul-Jabbar*,27.74,1975-76
150,151.,Pete Maravich*,27.72,1973-74
151,152.,Kevin Durant,27.71,2010-11
152,153.,Giannis Antetokounmpo,27.69,2018-19
153,154.,Karl Malone*,27.66,1987-88
154,155.,David Robinson*,27.63,1994-95
155,156.,Vince Carter,27.60,2000-01
156,157.,Charles Barkley*,27.60,1990-91
157,158.,Allen Iverson*,27.59,2002-03
158,159.,Kobe Bryant,27.56,2004-05
159,160.,Joel Embiid,27.52,2018-19
160,161.,Elvin Hayes*,27.51,1969-70
161,162.,Shaquille O'Neal*,27.48,2002-03
162,163.,Dale Ellis,27.48,1988-89
163,164.,John Havlicek*,27.46,1971-72
164,165.,LeBron James,27.45,2017-18
165,166.,Carmelo Anthony,27.43,2013-14
166,167.,Karl Malone*,27.43,1996-97
167,168.,George Mikan*,27.43,1949-50
168,169.,Bob Pettit*,27.38,1963-64
169,170.,Dominique Wilkins*,27.37,1984-85
170,,James Harden,27.37,2014-15
171,172.,Kobe Bryant,27.35,2012-13
172,173.,LeBron James,27.33,2006-07
173,174.,Hakeem Olajuwon*,27.30,1993-94
174,175.,DeMar DeRozan,27.30,2016-17
175,176.,Stephen Curry,27.26,2018-19
176,177.,George Gervin*,27.22,1977-78
177,178.,Clyde Drexler*,27.22,1988-89
178,179.,Dwyane Wade,27.20,2005-06
179,180.,Shaquille O'Neal*,27.19,2001-02
180,181.,LeBron James,27.19,2004-05
181,182.,Tom Chambers,27.17,1989-90
182,183.,David Thompson*,27.15,1977-78
183,184.,Elgin Baylor*,27.15,1964-65
184,185.,LeBron James,27.15,2011-12
185,186.,LeBron James,27.13,2013-14
186,187.,Chris Webber,27.11,2000-01
187,188.,Dave Bing*,27.11,1967-68
188,189.,Anthony Davis,27.09,2019-20
189,190.,George Gervin*,27.09,1980-81
190,191.,Lou Hudson,27.05,1972-73
191,192.,Kareem Abdul-Jabbar*,27.05,1973-74
192,193.,Karl Malone*,27.04,1997-98
193,194.,Karl Malone*,27.04,1992-93
194,195.,Dave Bing*,26.99,1970-71
195,196.,Walt Bellamy*,26.99,1963-64
196,197.,Damian Lillard,26.99,2016-17
197,198.,Kobe Bryant,26.99,2009-10
198,199.,Clyde Drexler*,26.98,1987-88
199,200.,DeMarcus Cousins,26.97,2016-17
200,201.,Julius Erving*,26.92,1979-80
201,202.,DeMarcus Cousins,26.89,2015-16
202,203.,Hakeem Olajuwon*,26.89,1995-96
203,204.,Damian Lillard,26.88,2017-18
204,205.,Kiki Vandeweghe,26.86,1986-87
205,206.,Giannis Antetokounmpo,26.85,2017-18
206,207.,Kobe Bryant,26.84,2008-09
207,208.,Lou Hudson,26.83,1970-71
208,209.,Tracy McGrady*,26.82,2000-01
209,210.,LeBron James,26.79,2012-13
210,211.,Paul Pierce,26.78,2005-06
211,212.,Glen Rice,26.77,1996-97
212,213.,Damian Lillard,26.76,2019-20
213,214.,Allen Iverson*,26.75,1998-99
214,215.,Dominique Wilkins*,26.73,1989-90
215,216.,LeBron James,26.72,2010-11
216,217.,Michael Redd,26.72,2006-07
217,218.,Karl Malone*,26.67,1994-95
218,219.,Kiki Vandeweghe,26.66,1982-83
219,220.,Billy Knight,26.60,1976-77
220,221.,Elgin Baylor*,26.60,1966-67
221,,Kawhi Leonard,26.60,2018-19
